id,title,type,institution,country,year,matched_variant
/199/item_4UXM5MJESGFCG6R36XAZQAM2WVBTLMFR,Weber,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4XGOOQDWRSJUSGKQ5MH4CDN6G7BAT7Z2,Blumenstrauß in einer Vase,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5E5QBZ2JPH2UM6CFX3LBVAHFV3YPUB27,Street in Eindhoven in the rain,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5HOWBD7DPQUBXL5HNIWLBQFLIRKVKD2P,Meadow near Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5HTSXYEQZWSEH3VK2TDFZ3JZRLKHYGQP,Les cyprès,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5PKSDT2WQSWG42IUZ7U2NAE3IPA3GV3U,The yellow house of the artist in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5QT332O4OVD35HLZ2YF55SPK5DUJOYAD,Weber beim Ordnen von Fäden,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5QXJWSOH2XBSU3U52EXOAUGH63W57SKQ,Farm in Provence,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5RRK7IP7VIOT6DJ6QTIIWZ7EHBAIAT73,Kartoffelfeld in den Dünen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5RUDD3NAW4S7A2MK2ZC7QG5L6UY5UK5P,Sich bückende Bäuerin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5TGHYJGR7IX5HMUT5FGPNOGC5A2F27O5,L'Arlésienne: Madame Ginoux,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_5VX25YW7NHZT4HH52WMHZ5VXIILU3GJO,Blühender Ast,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_6CBJD3QYFV5YJT36GIVIQGQRUWMK7GZJ,Sämann bei untergehender Sonne,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_6CPHYUKYSZVLERFH465XJF3W7GZ7M55S,Porträt einer Bäuerin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_6GCMCIRV7LX6UGCDTA3OMFT7VUFTLJCD,Grabender Bauer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_6R54SAZPDMGOMZEV4RTLRBHXBLZZ5RYF,Beet mit Sonnenblumen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_6U5NJP7SC5YKZCHF6K3H5TNXZFAYLGSN,Weaver,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_72ZSMF2JMSTUKWBOQ4BWD7VZ5O2AWVWB,Feld mit Sämann im Regen / Sämann im Regen / La pluie,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_73OEOGGKBA56T3C7WG4VUKGGNKXQTKRY,"La Berceuse, Bildnis der Madame Roulin",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_7NHBOWJCRTSQJX2URDQW25KPIXOA6TKS,Selbstbildnis mit Pfeife,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_A4UR4D3Q4QL264FFGB4UU2AGWUJOISAK,Bergarbeiter im Schnee ('Winter'),IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ADK5KQHPI2KVKUVHIU7WSEJRGAD65QZ2,Öffentlicher Park in Paris mit Spaziergängern,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_AJVYY5HOPJ6RRHGWQ7RXJ2LW2NUAVR3R,Der Garten der Heilanstalt in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_AMKNYUMCALUIMNJ3RDBAVGL7PF5HCOMV,Evening. Returning from work (after Millet)/returning home from the field,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ARKUSORPI37GJJWXQTUC572CQO5KG46R,Selbstbildnis,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ARONRL6XSRYKHL5WSXZ7NOYUIPFQGA2F,Les Alyscamps in autumn,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ASK5HY2MWBG5RJ2XEJKMKEEOD3SBG2LY,Landschaft mit Feldarbeitern,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ATZAV6JFOSDT2IQATXWMUJERI46U2DYC,Die Langlois-Brücke in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_AU4A2DUVEK4DKZGITZVHPWYWPHWP7RRJ,The Grote Markt in Antwerp,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_AVQFIXWSCR5KC7SUYRURG62HADUBJ3CX,Weber am Webstuhl,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_AVRN7I6V44G7LHSF2XOOT7VU25DQTS35,Orchard with flourishing apricot trees,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_B2M6C5CHHBQ2NLNVHCPUEGRAMS5A7Y2I,Zuave,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_B2SU7ULXXMQP42TTFJVE62XFFWUHFRPC,Felder mit gestutztem Baum vor Gebirgslandschaft,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_B4NKCKYJUJYG5Y6Q55BEE3M7JWYGXCY6,Der Briefträger Roulin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_B53Z7VFZVFNN2ATELAHJD4PPXEJZCCDK,Bäume und Sträucher im Park in Saint-Rémy,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_BCJQFMBQPF7HVBPUVQ2GQL6JQYZBL72Q,Rhônebarken / Die verankerten Boote,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_BFSGFGVSMSECKWDNUEUSVVDL2LZLVOTJ,Der Schüler,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_BH2C5DKXBQ6DOU52C6N6FTO34EDXUPRS,Rosen und Sonnenblumen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_BHGCD6HC5EFWBW2XKURMYHM3VHC5KIMI,Die Ebene bei Auvers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_BQK4CBGTX64MMVOTPY5SZF4IMTET3ZPY,Flourishing orchard,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_BQN72VK6JZFJPNLI7KXJVR6JCQ76CC2R,Mohnfeld,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_BR2IOXATURYZWPBQ7CJ2JGKJ5DKTVOTM,Grabender Mann,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_BTXMIMNZQA4DYYQ24Z537JCGI5RMRC6C,Heimkehr vom Felde,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_C34H3OTFMCFJKRP7GWSGQEJYMT6KLX4U,Fels mit Bäumen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_C3K3HLALOSVVZCVNNEJSUK6IFHMXM7UH,Park Voyer d'Argenson in Asnières,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_C5SHAUWOKBNAU4S5IZEIIBZJ3NS5GITN,Vase mit Astern und anderen Blumen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_CNZXJSCGEIQHRHIDSLNLVNVKBKF4OSQQ,Les Alyscamps,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_CQY7YOIDPJ5P35QM3YSOUVAUDPUDKWLN,Die Hirtin (nach Millet),IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_CS5XLGBBJVLGZJGDUR2MSIFOF2NTPFQS,Der Sämann,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_CSOPXS6S35HNQ6Y7MDA3FN7IINX65OHU,Winter Landscape with Walkers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_D3IS3ZXOLCUF65XZIJL3FJG456G2ADIU,Alter Weinberg mit Bäuerin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_D7QIJ6CTSIIPSNSXO76KIQCX7AVBTRW4,Le Moulin de la Galette,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DDQRB7ESGVOUDESK74KROKKJF72T666V,Das Krankenhaus in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DEYRKNIJMAOZHNFNTI3ZEA3CNYJPIRGV,Feld mit Bäumen und das Schloß von Auvers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DKI74RRE2ZG66FW3D5SQ273BMGRWXR52,Stilleben mit Zitrusfrüchten,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DOFOUGDZRQERLB57MMFFHO44FBE7SEF2,Poplar Alley with a Figure,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DTX5HXX3OGLG5Q3FH7C53RFWXTEUONJ6,Bäume mit Efeu,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DUFENGHBP7AKN6LI267YDSGUWUCL7ZUD,The lover - portrait of Lieutenant Milliet,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DV2FLXZXRFV7SEKMJKK4TFY42T3FM5TO,Die ersten Schritte (nach Millet) / Der erste Schritt,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DXMA2EMFEVU5PBHIS3NOOIT4TVDKCAJX,Sommerabend,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_DZ7BM3VCNEJDW6U3C33X5WCGHBWFJ4WM,The First Step,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_E2KPJ57XXD2GSDDITPJZCBFAGJRMNWMP,Schafscherer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ECXGB4FCFG7HRSD3DVLKD5VGCL6G56KN,Selbstbildnis vor der Staffelei,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_EDKJS532CEETWJDAWNUQZYZ3VRJGAB27,Stilleben mit Äpfeln und Trinkgefäß,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_EDQTQRZAQ5FVP645L5XKEDEWEJRTHQUT,Drei Bauern mit Spaten auf den Schultern unterwegs im Regen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_EOFYS7SBFSYOEF2M3MH56L2Y2ZUBPDSU,Interieur eines Restaurants,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_EP5OGY6ZTSDKBFZSBP3WN3SVND6IPPQE,Die Sandgrube,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_EQC7EUJQ4B3MJ7533PVHKMBEP4MNJOS5,"Still Life with Pipe, Onions, Siegellack, Book “Annuaire de la Santé” by F. V. Raspail and Other Objects",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_EYYTFYKNBSXGQKPT3AJD4GS36E53RGFH,Le Moulin de la Galette,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_FA3UVR2WVLCZ7I4P5XMR5WTZEUTHRBS5,Sonniger Mittag in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_FFHWSJW3MYGWUXWQGAKIN7X2ETFVWOBB,Bauer mit Sichel,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_FFLO3SEDGMZ4KQYAHXQREWGDX4D4TBD5,Frau auf dem Totenbett,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
